text,lat,long,user_name,location,user_location
The Tick Fire continues to burn this morning @GigiGraciette live all morning @GDLA @FOXLA https://t.co/HWBsIbG4Uw,34.033240950744165,-118.45634438785034,HayleyHerst,Fox 11 LA,Los Angeles
#LAFIRE #fire @LAFD @LACoFDPIO unreal https://t.co/Vl4oDlThtX,34.16012669882406,-118.46911993884365,13ennyp,US-101 / I-405 Interchange,Hollyweird
"L.A. City is on a City Wide TAC Alert due to the Getty Fire. If you live in the area of the fire, please monitor an… https://t.co/J6M8fwS8BT",34.04654350657225,-118.44926834106445,911LAPD,West Los Angeles,City Of Los Angeles
"Ran into @abc7gabriela today in Westwood while doing fire coverage today. Hope everyone’s staying safe. 💕 ⁣
⁣
⁣… https://t.co/5d6PKMiDIA",34.06191024128611,-118.44418536168105,abc7AshleyM,Ministry of Coffee,Los Angeles
Just witness helicopter dropping water over fire. https://t.co/RnFD5fcBgg,34.04686353630807,-118.44660758972168,TeslaJoy,I-405 / Santa Monica Blvd,"Los Angeles, CA"
"Though we will not be in the synagogue building this week for Shabbat, due to the Getty Fire. We will not let it’s… https://t.co/FyKseeQTcO",33.912050437955756,-118.47049622065836,UniSynagogue,"Los Angeles, CA","Brentwood, Los Angeles, CA"
"We are here for each other by Rabbi Barry Lutz
“… a strong wind slashed through the mountains … but God was not in… https://t.co/bLSOsqP56s",34.314233278908006,-118.38854589014379,UniSynagogue,"Los Angeles, CA","Brentwood, Los Angeles, CA"
BREAKING NEWS: Massive out of control fire burning along the 405 Fwy in the Sepulveda Pass in the Bel Air community… https://t.co/gnQ8zZmc8S,34.1178656858567,-118.47890600902367,SteveKuzj,I-405 / Getty Center Dr,"Los Angeles, California"
Looks as though the #firefighters have made some good progress on #GettyFire . Air quality is terrible but a lot le… https://t.co/603f5IUBM6,34.04866648879765,-118.4612076763631,LA_trainr,11740 Wilshire Blve,"Los Angeles, CA"
Brentwood is on fire right now! https://t.co/vYuo7iPaHS,34.04894380605713,-118.46147685959109,FrankieTsunami,"Pilates Platinum, Brentwood","Los Angeles, CA"
What's on fire in Beverly Hills? https://t.co/xroh3uvcLK,34.04693365197765,-118.41965299421328,TheBenMayne,"Century City, Los Angeles",
@eclipsingapple I was asleep through the beginning of it and didn’t even realize there was a fire until the E-alert… https://t.co/cRIsDc8ABS,34.08498922536081,-118.48233090191917,abbybarron_,Mount Saint Mary's University,"Los Angeles, CA"
"It’s been one helluva morning thanks to this brush fire. 🤦🏾‍♂️ @ Bel Air, Los Angeles https://t.co/Mhhwvq0a7n",34.21854955953842,-118.6542495870647,JvyMvlone,"Los Angeles, CA","Bel Air, California"
evolution of the fire by UCLA https://t.co/7Hv8PQYCUn,34.07346161834392,-118.45266186837684,evelynxramirezz,UCLA Hedrick Hall,
@yuta2012 @_Risky_Melody_ @hinoalice It’s all part of living the good life in the hills. You live with it every fir… https://t.co/d2JCpseWk5,34.12327074909836,-118.44360295709427,Donny_Sarian,"Bel Air, Los Angeles","Bel Air, Los Angeles"
our first fire evacuation 😫,34.10645638928896,-118.4526562562264,renathaaa,"Bel Air, Los Angeles",
Another video from the fire near the Getty center. #losangelesfire https://t.co/inRVWHhCOU,34.09471413316249,-118.44078809821536,AliciaSkyMusic,"Bel Air, Los Angeles","Los Angeles, CA"
"Spent the day at The #GettyFires ... While the real damage was contained to a small area, this could have been disa… https://t.co/BSkabhbUk1",33.72251885272755,-118.5774277118245,KevinFrazier,"Los Angeles, CA","ÜT: 34.076112,-118.344508"
Some of our reporting from #Brentwood this morning as the #gettyfire surrounded homes on the top of #tigertail - Th… https://t.co/teDouKQyHS,34.077709445623086,-118.3089549941063,abc7JoshHaskell,"Los Angeles, CA","Los Angeles, CA"
"Watching them drop water on the #gettyfire so scary still!   

•
•
•
•
#fire #fires #brentwood #firedepartment… https://t.co/27FPiLuCTw",33.84820506749456,-118.51763737611105,LisaKearth,"Los Angeles, CA","ÜT: 34.043526,-118.363393"
No fire wife ever wants to wake up to a text message with videos from their firefighter husband that he’s driving I… https://t.co/dvD2gcX46I,34.03096225278091,-118.60809534117917,joycedabuet,"Los Angeles, CA",
"Just another crazy California fire day!  #fire @ Sherman Oaks, California https://t.co/QfLywWCFRM",34.11415128268892,-118.3651140807767,silveraa,"Los Angeles, CA",Los Angeles
"Got some fire going on Sherman Oaks! #fire ktla5news @ Sherman Oaks, California https://t.co/Lau5ADUDfK",34.18585925908962,-118.22332783129639,silveraa,"Los Angeles, CA",Los Angeles
"Fire in Sherman Oaks! #fire ktla5news nbcnews @ Sherman Oaks, California https://t.co/Z2j0TuFnBW",33.86345221977843,-118.2999290137,silveraa,"Los Angeles, CA",Los Angeles
